species,extant,mass_g,FOD_Mya,LOD_Mya,Diet,source,tree,
Acristatherium,FALSE,,123.2,123.2,insectivore,pbdb,Beck,
Acrobates_pygmaeus,TRUE,27.0170613,0.0117,0,,Slater (2013).,Slater,
Adapis,FALSE,,41.3,33.9,herbivore,pbdb,Beck,
Adelobasileus,FALSE,,20.43,13.6,,pbdb,Slater,
Afrodon_chleuhi,FALSE,,61.6,56,insectivore,pbdb,Beck,
Afrodon_germanicus,FALSE,,61.6,56,insectivore,pbdb,Beck,
Akidolestes,FALSE,,129.4,125,insectivore,pbdb,Slater,
Albertatherium,FALSE,80.84,83.5,70.6,,Fox (1971).,Slater,
Alostera,FALSE,,83.5,66,,pbdb,Beck,
Ambondro,FALSE,18.86,167.7,164.7,,Slater (2013).,Slater,
Amphilestes,FALSE,54.48,167.7,164.7,,Slater (2013).,Slater,
Amphitherium,FALSE,,93.9,72.1,omnivore,pbdb,Slater,
Anchistodelphys,FALSE,23.06,93.5,89.3,,Slater (2013).,Slater,
Andinodelphys,FALSE,220.08,65.5,61.7,,Slater (2013).,Slater,
Arctocyon,FALSE,,63.3,56.8,,pbdb,Beck,
Asfaltomylos,FALSE,8.19,183,175.6,,Slater (2013).,Slater,
Asiatherium,FALSE,34.28,83.5,70.6,,Trofimov and Szalay (1994).,Slater,
Asioryctes,FALSE,23.83,75,75,,Slater (2013).,Beck / Slater,
Aspanlestes,FALSE,34.42,89.3,85.8,,Slater (2013).,Beck,
Atokatheridium,FALSE,14.22,122.46,109,,"Davis, Cifelli, and Kienlan-Jaworoska (2008).",Slater,
Ausktribosphenos,FALSE,33.15,125.45,122.46,,Slater (2013).,Slater,
Avitotherium,FALSE,,83.5,70.6,,pbdb,Beck,
Barunlestes,FALSE,,83.5,72.1,,pbdb,Beck,
Batodon,FALSE,,83.5,66,,pbdb,Beck,
Bishops,FALSE,41.31,125.45,122.46,,Slater (2013).,Slater,
Bobolestes,FALSE,,105.3,93.5,,pbdb,Beck,
Borisodon,FALSE,,93.5,89.3,,pbdb,Beck,
Bradypodidae,TRUE,4324.57328,21,0,,Slater (2013).,Slater,
Bradypus,TRUE,,0.0117,0,,pbdb,Beck,
Bulaklestes,FALSE,,89.8,86.3,,pbdb,Beck,
Caenolestidae_I,TRUE,36.25953131,15.97,0,,Slater (2013).,Slater,
Canidae,TRUE,5350.78917,46.2,0,carnivore,Slater (2013).,Slater,
Castorocauda,FALSE,800,164,164,,Ji et al. (2006).,Slater,
Chriacus,FALSE,,66,50.3,,pbdb,Beck,
Cimolestes,FALSE,,72.1,56,,pbdb,Beck,
Cimolodontans,FALSE,819.73,125.45,33.9,,Slater (2013).,Slater,
Cynocephalus,TRUE,,0.0117,0,folivore,pbdb,Beck,
Dasypodidae,TRUE,2092.41484,58.7,0,insectivore,Slater (2013).,Beck / Slater,
Dasyuridae,TRUE,52.7080193,0.0117,0,,Slater (2013).,Slater,
Daulestes,FALSE,7.46,89.3,85.8,,Slater (2013).,Beck / Slater,
Deccanolestes_cf_hislopi,FALSE,,72.1,66,,pbdb,Beck,
Deccanolestes_hislopi,FALSE,,72.1,66,,pbdb,Beck,
Deccanolestes_narmadensis,FALSE,,72.1,66,,pbdb,Beck,
Deccanolestes_robustus,FALSE,,72.1,66,,pbdb,Beck,
Deltatheridium,FALSE,157.96,83.5,70.6,,Gregory and Simpson (1926).,Beck / Slater,
Diacodexis,FALSE,,51,46.2,,pbdb,Beck,
Diadiaphorus,FALSE,,23.03,3.6,,pbdb,Beck,
Didelphidae_I,TRUE,67.0711013,0.0117,0,,Slater (2013).,Slater,
Didelphodon,FALSE,912.88,83.5,70.6,,Gordon (2003).,Slater,
Didolodus,FALSE,,56,47.8,insectivore,wiki! Early eocene,Beck,
Dilambdogale,FALSE,,37.5,37.5,,wiki! Late Eocene (Fayum),Beck,
Dryolestes,FALSE,129.56,155.7,150.8,,Slater (2013).,Slater,
Eomaia,FALSE,25,125,125,,Ji et al. (2002).,Beck / Slater,
Eoryctes,FALSE,,55.8,50.3,,pbdb,Beck,
Eoungulatum,FALSE,,89.8,86.3,,pbdb,Beck,
Eozhelestes,FALSE,,99.6,93.5,,pbdb,Beck,
Erinaceidae_I,TRUE,294.490245,0.0117,0,,Slater (2013).,Slater,
Erinaceus,TRUE,750,9.7,0,,pbdb + BM from Healy et al,Beck,
Felidae,TRUE,9717.67682,0.0117,0,,Slater (2013).,Slater,
Fruitafossor,FALSE,4.7,155.7,150.8,,Slater (2013).,Slater,
Gallolestes,FALSE,,83.5,70.6,,pbdb,Beck,
Gobiconodon,FALSE,320.09,136.4,130,,Slater (2013).,Slater,
Gomphos,FALSE,,58.7,48.6,,,Beck,
Gujaratia,FALSE,,51,46.2,,,Beck,syn Diacodexis?
Gypsonictops,FALSE,,72.1,66,,,Beck,
Hadrocodium,FALSE,2,195,195,,Luo et al. (2001).,Slater,
Haldanodon,FALSE,32.6,155.7,150.8,,Slater (2013).,Slater,
Haramiyavia,FALSE,,208.5,201.3,insectivore,pbdb,Slater,
Henkelotherium,FALSE,,157.3,152.1,insectivore,pbdb,Slater,
Henricosbornia,FALSE,,58.7,55.8,,pbdb,Beck,
Holoclemensia,FALSE,28.42,112.03,109,,Slater (2013).,Slater,
Hyopsodus,FALSE,,56,37.2,,pbdb,Beck,
Hyracotherium,FALSE,,55.8,48.6,,pbdb,Beck,
Icaronycteris,FALSE,,56,47.8,,pbdb,Beck,
Jeholodens,FALSE,25,130,125.4,,Ji et al. (1999).,Slater,
