,FAD,LAD
Nanolestes,157.3,152.1
Peramus,145,139.8
Vincelestes,129.4,129.4
Kielantherium,113,113
Deltatheridium,83.6,72.1
Mayulestes,61.6,61.6
Pucadelphys,61.6,61.6
Acristatherium,124.2,122.2
Eomaia,125,125
Juramaia,161,160.5
Prokennalestes,113,113
Murtoilestes,125,125
Bobolestes,99,93
Sheikhdzheilia,96,96
Alostera,69,65.5
Avitotherium,81,74
Gallolestes,77.5,77.5
Parazhelestes,90,90
Aspanlestes,90,90
Zhelestes,90,90
Paranyctoides,90,90
Eozhelestes,96,96
Cimolestes,67.25,67.25
Maelestes,77.85,77.85
Batodon,67.25,67.25
Bulaklestes,90,90
Daulestes,90,90
Uchkudukodon,90,90
Kennalestes,77.85,77.85
Asioryctes,83.6,72.1
Ukhaatherium,77.85,77.85
Deccanolestes_hislopi,72.1,66
Deccanolestes_cf._hislopi,72.1,66
Deccanolestes_robustus,72.1,66
Deccanolestes_narmadensis,72.1,66
Afrodon_germanicus,59.2,59.2
Afrodon_chleuhi,61.6,56
Kulbeckia,90,90
Zhangolestes,125,93.9
Zalambdalestes,77.85,77.85
Barunlestes,77.85,77.85
Gypsonictops,77.5,77.5
Leptictis,33.9,33.3
Purgatorius,64.75,64.11
Protungulatum,64.75,64.11
Oxyprimus,64.75,64.11
Vulpavus,55.8,52.6
Miacis,49,46.7
Gujaratia,47.8,47.8
Hyopsodus,50.2,47
Meniscotherium,53.2,52.8
Phenacodus,54.2,54.2
Ptilocercus,0.0117,0
Plesiadapis,59.5,58.9
Notharctus,50.2,47
Adapis,37.2,36.8
Tribosphenomys,59.2,56
Paramys,54.2,54.2
Rhombomylus,56,47.8
Gomphos,51.9,51.9
Mimotona,61.6,59.2
Blarina,0.0117,0
