"","Data","Method","terms","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"," "
"1","Mammaliaformes","Intervals:tips","time",18,86.7516974350846,4.81953874639359,1.136889445103,0.131631816330287,0.015984015984016,"*"
"2","Mammaliaformes","Intervals:tips","residuals",135,572.296394839274,4.23923255436499,NA,0.868368183669713,NA," "
"3","Mammaliaformes","Intervals:tips+nodes","time",22,3428.55071313725,155.843214233511,0.910195224273,0.0957988875902446,1," "
"4","Mammaliaformes","Intervals:tips+nodes","residuals",189,32360.4944352992,171.219547276715,NA,0.904201112409755,NA," "
"5","Mammaliaformes","Slices:punctuated","time",34,5648.75110314726,166.139738327861,0.998291306449,0.0573399250262058,0.534465534465534," "
"6","Mammaliaformes","Slices:punctuated","residuals",558,92864.6512175854,166.424106124705,NA,0.942660074973794,NA," "
"7","Mammaliaformes","Slices:ACCTRAN","time",34,5071.85275861977,149.172139959405,0.87849875524,0.0508088703920135,1," "
"8","Mammaliaformes","Slices:ACCTRAN","residuals",558,94750.3381204163,169.803473334079,NA,0.949191129607987,NA," "
"9","Mammaliaformes","Slices:DELTRAN","time",34,7057.20515992821,207.564857644947,1.30268024833,0.073537740058851,0.000999000999000999,"***"
"10","Mammaliaformes","Slices:DELTRAN","residuals",558,88909.915318352,159.336765803498,NA,0.926462259941149,NA," "
"11","Mammaliaformes","Slices:gradual","time",34,6525.60846486818,191.929660731417,1.165963887167,0.066331885885856,0.000999000999000999,"***"
"12","Mammaliaformes","Slices:gradual","residuals",558,91852.5452348088,164.610296119729,NA,0.933668114114144,NA," "
"13","Eutherians","Intervals:tips","time",16,531.126016732764,33.1953760457978,1.132535147642,0.123168115124838,0.000999000999000999,"***"
"14","Eutherians","Intervals:tips","residuals",129,3781.07780480367,29.3106806573928,NA,0.876831884875163,NA," "
"15","Eutherians","Intervals:tips+nodes","time",20,816.67759472882,40.833879736441,1.155846509177,0.0924244918829876,0.000999000999000999,"***"
"16","Eutherians","Intervals:tips+nodes","residuals",227,8019.4823677491,35.328116157485,NA,0.907575508117012,NA," "
"17","Eutherians","Slices:punctuated","time",34,1609.27672717281,47.3316684462592,1.37666768947,0.0677565827666028,0.000999000999000999,"***"
"18","Eutherians","Slices:punctuated","residuals",644,22141.5776026005,34.3813316810567,NA,0.932243417233397,NA," "
"19","Eutherians","Slices:ACCTRAN","time",34,1369.0741073073,40.2668855090381,1.128965009492,0.0562509741454928,0.000999000999000999,"***"
"20","Eutherians","Slices:ACCTRAN","residuals",644,22969.5996331011,35.6670801756228,NA,0.943749025854507,NA," "
"21","Eutherians","Slices:DELTRAN","time",34,2052.15461608995,60.3574887085278,1.868284658346,0.0897805400519515,0.000999000999000999,"***"
"22","Eutherians","Slices:DELTRAN","residuals",644,20805.299960397,32.306366398132,NA,0.910219459948049,NA," "
"23","Eutherians","Slices:gradual","time",34,1825.91812301525,53.7034742063309,1.578386118848,0.0769210411756345,0.000999000999000999,"***"
"24","Eutherians","Slices:gradual","residuals",644,21911.6456840855,34.0242945405055,NA,0.923078958824366,NA," "
