,FAD,LAD
Sinoconodon,203,199
Morganucodon,203,199
Megazostrodon,210.6,196.5
Haldanodon,155.7,150.8
Shuotherium,167,145
Asfaltomylos,183,175.6
Ambondro,167.7,164.7
Ausktribosphenos,125.45,122.46
Bishops,125.45,122.46
Teinolophos,125.45,122.46
Steropodon,12.03,99.6
Obdurodon,23.03,15.97
Fruitafossor,155.7,150.8
Gobiconodon,136.4,130
Repenomamus,125.45,122.46
Amphilestes,167.7,164.7
Yanoconodon,130,125.4
Jeholodens,130,125.4
Priacodon,155.7,150.8
Plagiaulacidans,167.7,61.7
Cimolodontans,125.45,33.9
Tinodon,155.7,150.8
Spalacotherium,145.5,140.2
Zhangheotherium,130,125.4
Maotherium,125.45,122.46
Dryolestes,155.7,150.8
Vincelestes,125.45,99.6
Nanolestes,140.2,136.4
Daulestes,89.3,85.8
Aspanlestes,89.3,85.8
Holoclemensia,112.03,109
Deltatheridium,83.5,70.6
Atokatheridium,122.46,109
Sulestes,89.3,85.5
Asiatherium,83.5,70.6
Kokopellia,105.3,93.5
Anchistodelphys,93.5,89.3
Albertatherium,83.5,70.6
Didelphodon,83.5,70.6
Pediomys,83.5,70.6
Turgidodon,65.5,61.7
Mayulestes,65.5,61.7
Pucadelphys,65.5,61.7
Andinodelphys,65.5,61.7
