LM=47,
1748,568
1514,224
1432,610
1366,414
1152,312
1054,404
1090,502
1338,626
1316,604
1286,582
1232,566
1184,556
1142,546
1098,534
1064,510
1038,474
1024,432
1016,372
1044,330
1074,288
1116,256
1164,246
1210,254
1256,266
1292,264
1338,252
1378,236
1408,222
1454,180
1508,160
1574,180
1634,224
1690,288
1720,334
1742,398
1774,474
1810,542
1784,596
1730,646
1666,628
1600,590
1552,572
1506,606
1468,646
1432,662
1384,670
1356,650
ID=Atokatheridium,
LM=47,
1454,582
1216,374
1214,622
1076,576
908,454
866,568
948,634
1168,696
1118,686
1074,682
1024,682
970,682
920,670
878,646
848,610
840,560
846,510
854,462
878,422
920,412
964,414
996,402
1020,382
1042,362
1070,346
1096,336
1124,324
1154,316
1196,304
1248,304
1294,312
1338,328
1380,360
1414,400
1446,450
1468,490
1502,542
1526,584
1520,626
1496,648
1440,650
1390,652
1344,660
1306,670
1270,680
1242,688
1202,696
ID=Kielantherium,
LM=47,
135,53
70,118
179,125
129,145
91,202
130,246
173,210
189,149
190,163
193,179
195,197
193,213
189,226
181,238
170,247
156,251
144,252
133,257
122,256
112,252
106,243
94,238
82,233
70,223
68,208
70,188
71,170
72,153
57,143
49,129
48,112
53,95
61,82
76,72
88,64
100,56
113,50
126,43
137,38
145,39
152,47
160,56
165,72
173,85
182,97
193,115
196,135
ID=Murtoilestes,
LM=47,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
ID=Prokennalestes,
LM=47,
913,786
801,601
797,802
618,717
498,597
415,717
485,816
664,842
623,827
587,827
540,845
491,852
438,832
405,791
383,749
370,715
384,679
406,646
423,612
433,570
474,549
513,557
545,574
581,595
624,601
661,597
690,586
715,573
744,555
788,541
829,548
861,572
890,599
903,632
923,667
940,702
953,743
955,773
946,802
920,822
881,825
847,824
816,831
789,842
761,850
729,855
696,851
ID=Slaughteria,
LM=47,
858,381
1052,100
1061,472
1171,343
1354,234
1453,379
1362,470
1147,479
1210,467
1260,471
1323,490
1378,502
1416,469
1457,432
1486,396
1492,356
1472,316
1457,281
1457,218
1443,165
1414,143
1375,145
1336,164
1298,177
1259,185
1213,183
1172,165
1134,136
1120,85
1094,46
1059,29
1021,29
983,52
953,96
934,143
917,196
908,240
893,283
862,328
836,369
836,423
877,450
927,462
965,489
1000,516
1049,535
1108,523
ID=Holoclemensia,
LM=47,
1121,535
1303,300
1387,579
1566,411
1625,325
1789,343
1770,476
1476,643
1531,614
1589,586
1637,557
1692,535
1745,518
1775,504
1796,486
1802,464
1802,407
1820,348
1815,313
1797,292
1756,289
1733,281
1689,245
1650,236
1603,254
1472,366
1412,351
1369,315
1350,264
1308,231
1264,221
1218,237
1197,261
1165,302
1153,347
1151,397
1139,434
1115,482
1094,526
1061,558
1066,580
1108,600
1158,605
1206,619
1297,618
1371,644
1411,651
ID=Kermackia,
LM=47,
423,114
458,41
487,123
499,84
549,51
587,85
561,120
510,132
519,129
529,127
539,126
550,127
563,126
574,121
581,115
588,108
596,99
599,89
596,75
586,64
576,53
568,40
552,34
539,39
526,43
510,42
498,36
486,29
476,22
465,19
452,20
442,25
435,33
429,45
423,57
418,69
414,79
411,94
406,105
406,117
413,128
425,132
441,131
454,129
469,125
483,134
497,135
ID=Oklatheridium,
LM=47,
950,363
883,152
867,413
769,301
642,177
520,292
586,400
798,460
758,451
702,453
652,456
604,442
565,420
541,376
508,342
490,306
501,268
518,243
548,220
570,188
585,156
612,136
645,127
679,128
710,139
738,141
767,133
798,118
827,101
857,101
892,111
920,126
941,145
955,170
964,200
966,233
970,264
980,287
987,316
988,348
992,386
970,411
939,426
911,435
896,462
869,474
831,468
ID=Bobolestes,
LM=47,
1416,528
1310,272
1189,556
1186,417
1022,277
868,416
926,552
1113,630
1057,621
1004,607
957,595
911,587
884,552
864,509
851,462
841,428
846,383
868,361
892,315
912,281
948,249
995,238
1047,239
1082,264
1126,273
1177,272
1224,259
1260,240
1286,220
1317,216
1350,226
1382,251
1399,286
1415,329
1423,373
1431,411
1437,451
1444,493
1452,530
1457,570
1434,599
1399,614
1352,615
1301,610
1246,613
1205,621
1157,629
ID=Kokopellia,
LM=47,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
ID=Montanalestes,
LM=47,
285,219
420,406
187,363
296,452
334,597
192,662
135,568
106,441
103,470
102,508
100,537
107,575
127,603
142,634
147,661
176,684
217,680
256,665
294,661
328,651
350,628
361,600
363,567
362,536
359,505
367,471
393,453
423,444
455,427
469,392
467,356
452,322
436,295
