"","Data","Method","metric","slice","difference","Df","T","p-value"," "
"1","Mammaliaformes","Intervals:tips","centroid","170.3-166.1:166.1-163.5",-0.04,11,-0.284,1," "
"2","Mammaliaformes","Intervals:tips","centroid","166.1-163.5:163.5-157.3",0.25,9,1.075,1," "
"3","Mammaliaformes","Intervals:tips","centroid","163.5-157.3:157.3-152.1",-0.32,13,-1.845,1," "
"4","Mammaliaformes","Intervals:tips","centroid","157.3-152.1:152.1-145",0.04,18,0.446,1," "
"5","Mammaliaformes","Intervals:tips","centroid","152.1-145:145-139.8",0.21,12,1.45,1," "
"6","Mammaliaformes","Intervals:tips","centroid","145-139.8:139.8-132.9",0.11,7,0.39,1," "
"7","Mammaliaformes","Intervals:tips","centroid","139.8-132.9:132.9-129.4",-0.02,7,-0.063,1," "
"8","Mammaliaformes","Intervals:tips","centroid","132.9-129.4:129.4-125",-0.41,18,-3.832,0.02198,"*"
"9","Mammaliaformes","Intervals:tips","centroid","129.4-125:125-113",0.01,26,0.224,1," "
"10","Mammaliaformes","Intervals:tips","centroid","125-113:113-100.5",0.09,20,1.188,1," "
"11","Mammaliaformes","Intervals:tips","centroid","113-100.5:100.5-93.9",0.21,12,1.344,1," "
"12","Mammaliaformes","Intervals:tips","centroid","100.5-93.9:93.9-89.8",0.15,7,0.535,1," "
"13","Mammaliaformes","Intervals:tips","centroid","93.9-89.8:89.8-86.3",-0.12,7,-0.426,1," "
"14","Mammaliaformes","Intervals:tips","centroid","89.8-86.3:86.3-83.6",0.13,7,0.465,1," "
"15","Mammaliaformes","Intervals:tips","centroid","86.3-83.6:83.6-72.1",-0.35,14,-2.242,0.74977," "
"16","Mammaliaformes","Intervals:tips","centroid","83.6-72.1:72.1-66",0.1,18,1.091,1," "
"17","Mammaliaformes","Intervals:tips","centroid","72.1-66:66-61.6",0.12,12,0.809,1," "
"18","Mammaliaformes","Intervals:tips","centroid","66-61.6:61.6-0",-0.29,26,-3.174,0.06917,"."
"19","Mammaliaformes","Slices:DELTRAN","centroid","170:165",-0.1,47,-0.513,1," "
"20","Mammaliaformes","Slices:DELTRAN","centroid","165:160",0.08,45,0.424,1," "
